seed,episode,episode_reward,episode_steps,success,final_distance
0,1,-1737.7585024907085,100,False,23.53720459187964
0,2,-1170.5104235707731,100,False,25.96150997149434
0,3,-2893.073493439633,100,False,61.204574992397426
0,4,-934.7184105528108,100,False,9.055385138137417
0,5,-537.9647944272668,100,False,3.1622776601683795
0,6,-9.616514368925436,22,True,0.0
0,7,-1694.433420780485,100,False,28.600699292150182
0,8,-1008.7701527742587,100,False,11.661903789690601
0,9,-9.186374189657982,26,True,0.0
0,10,57.575114357471264,14,True,0.0
0,11,-854.7203541636316,100,False,11.661903789690601
0,12,-1641.6610246919638,100,False,28.319604517012593
0,13,-1649.8145770301928,100,False,42.04759208325728
0,14,-637.4019970707654,100,False,9.055385138137417
0,15,-313.2847343204455,78,True,0.0
0,16,-170.31968828656812,54,True,0.0
0,17,-256.54010750555807,62,True,0.0
0,18,-14.696610226073105,22,True,0.0
0,19,-1270.7501196931505,100,False,15.033296378372908
0,20,-869.2567810933895,100,False,7.0710678118654755
0,21,-437.3378896677501,96,True,0.0
0,22,49.73299338929691,14,True,0.0
0,23,-200.2091901083407,48,True,0.0
0,24,-985.5094794786457,100,False,13.416407864998739
0,25,-173.71037077491036,50,True,0.0
0,26,-247.31571184051057,56,True,0.0
0,27,-33.13859359415321,34,True,0.0
0,28,-284.5641381576994,52,True,0.0
0,29,8.417240076971737,28,True,0.0
0,30,-193.2999222870854,48,True,0.0
0,31,-203.81267945940698,48,True,0.0
0,32,-1576.7285093630915,100,False,37.013511046643494
0,33,-1074.9190883543283,100,False,11.40175425099138
0,34,-155.95924189250954,44,True,0.0
0,35,-1238.7779703435144,100,False,15.811388300841896
0,36,-401.84342345197103,92,True,0.0
0,37,-382.33151290411115,70,True,0.0
0,38,40.60359534102825,14,True,0.0
0,39,-42.17768975056677,30,True,0.0
0,40,65.70005662244283,10,True,0.0
0,41,-971.2290349125558,100,False,8.94427190999916
0,42,51.943045677732584,12,True,0.0
0,43,13.738384595194006,20,True,0.0
0,44,-1008.3507143520818,100,False,16.55294535724685
0,45,-1293.3128412862125,100,False,17.72004514666935
0,46,-722.6549851662812,100,False,6.0
0,47,-73.71793573495364,32,True,0.0
0,48,26.050859877306536,16,True,0.0
0,49,-68.10386569606482,38,True,0.0
0,50,20.214184789496457,16,True,0.0
0,51,31.926032175791306,22,True,0.0
0,52,-149.438594529713,42,True,0.0
0,53,-367.3048721732008,62,True,0.0
0,54,-1078.0981134701876,100,False,10.198039027185569
0,55,-82.0632292095786,36,True,0.0
0,56,-33.05379670101968,28,True,0.0
0,57,24.227345777557233,18,True,0.0
0,58,38.74804660279666,14,True,0.0
0,59,43.09706792453987,18,True,0.0
0,60,-18.915931190348076,32,True,0.0
0,61,-986.0501539421589,100,False,10.0
0,62,-21.121334883976814,26,True,0.0
0,63,-1065.1032571699823,100,False,10.0
0,64,33.98194334268652,14,True,0.0
0,65,-377.42292495431496,64,True,0.0
0,66,9.358191901669286,18,True,0.0
0,67,10.931421952637322,18,True,0.0
0,68,52.80691889399097,12,True,0.0
0,69,-615.7064225301347,86,True,0.0
