step,x,y,goal_x,goal_y
0,0,0,5,5
1,1,0,5,5
2,2,0,5,5
3,2,1,5,5
4,2,2,5,5
5,2,3,5,5
6,2,4,5,5
7,3,4,5,5
8,4,4,5,5
9,5,4,5,5
10,5,5,5,5
